Date(UTC),Pair,Side,Price,Executed,Amount,Fee,Fee Coin
2026-01-02 09:05:00,BTCUSDT,BUY,42000,0.01000000,420,0.42,USDT
2026-01-03 10:10:00,ETHEUR,BUY,3000,0.15000000,450,0.45,EUR
2026-01-04 11:15:00,ADAPLN,BUY,2.40,100.00000000,240,0.24,PLN
2026-01-05 12:20:00,SOLUSDT,BUY,100,2.50000000,250,0.25,USDT
2026-01-06 13:25:00,DOTEUR,BUY,7.50,30.00000000,225,0.225,EUR
2026-01-07 09:35:00,BTCUSDT,SELL,43000,0.00500000,215,0.215,USDT
2026-01-08 10:40:00,ETHEUR,SELL,3150,0.10000000,315,0.315,EUR
2026-01-09 11:45:00,ADAPLN,SELL,2.55,50.00000000,127.50,0.1275,PLN
2026-01-10 12:50:00,SOLUSDT,SELL,108,1.50000000,162,0.162,USDT
2026-01-11 13:55:00,DOTEUR,SELL,8.10,15.00000000,121.50,0.1215,EUR
2026-01-12 09:05:00,BTCUSDT,BUY,41000,0.01500000,615,0.615,USDT
2026-01-13 10:10:00,ETHEUR,BUY,2950,0.20000000,590,0.59,EUR
2026-01-14 11:15:00,ADAPLN,BUY,2.20,150.00000000,330,0.33,PLN
2026-01-15 12:20:00,SOLUSDT,BUY,95,3.00000000,285,0.285,USDT
2026-01-16 13:25:00,DOTEUR,BUY,7.20,40.00000000,288,0.288,EUR
2026-01-17 09:35:00,BTCUSDT,SELL,44000,0.01000000,440,0.44,USDT
2026-01-18 10:40:00,ETHEUR,SELL,3200,0.15000000,480,0.48,EUR
2026-01-19 11:45:00,ADAPLN,SELL,2.65,80.00000000,212,0.212,PLN
2026-01-20 12:50:00,SOLUSDT,SELL,112,2.00000000,224,0.224,USDT
2026-01-21 13:55:00,DOTEUR,SELL,8.40,20.00000000,168,0.168,EUR
2026-01-22 09:05:00,BTCUSDT,BUY,40500,0.02000000,810,0.81,USDT
2026-01-23 10:10:00,ETHEUR,BUY,2850,0.25000000,712.50,0.7125,EUR
2026-01-24 11:15:00,ADAPLN,BUY,2.10,200.00000000,420,0.42,PLN
2026-01-25 12:20:00,SOLUSDT,BUY,90,4.00000000,360,0.36,USDT
2026-01-26 13:25:00,DOTEUR,BUY,6.80,50.00000000,340,0.34,EUR
2026-01-27 09:35:00,BTCUSDT,SELL,45000,0.01500000,675,0.675,USDT
2026-01-28 10:40:00,ETHEUR,SELL,3300,0.20000000,660,0.66,EUR
2026-01-29 11:45:00,ADAPLN,SELL,2.70,100.00000000,270,0.27,PLN
2026-01-30 12:50:00,SOLUSDT,SELL,118,3.00000000,354,0.354,USDT
2026-01-31 13:55:00,DOTEUR,SELL,8.60,30.00000000,258,0.258,EUR
2026-02-02 09:05:00,BTCUSDT,BUY,46000,0.01000000,460,0.46,USDT
2026-02-03 10:10:00,ETHEUR,BUY,3400,0.15000000,510,0.51,EUR
2026-02-04 11:15:00,ADAPLN,BUY,2.75,100.00000000,275,0.275,PLN
2026-02-05 12:20:00,SOLUSDT,BUY,120,2.50000000,300,0.3,USDT
2026-02-06 13:25:00,DOTEUR,BUY,8.80,30.00000000,264,0.264,EUR
2026-02-07 09:35:00,BTCUSDT,SELL,47000,0.00500000,235,0.235,USDT
2026-02-08 10:40:00,ETHEUR,SELL,3450,0.10000000,345,0.345,EUR
2026-02-09 11:45:00,ADAPLN,SELL,2.90,50.00000000,145,0.145,PLN
2026-02-10 12:50:00,SOLUSDT,SELL,126,1.50000000,189,0.189,USDT
2026-02-11 13:55:00,DOTEUR,SELL,9.10,15.00000000,136.50,0.1365,EUR
2026-02-12 09:05:00,BTCUSDT,BUY,45500,0.01500000,682.50,0.6825,USDT
2026-02-13 10:10:00,ETHEUR,BUY,3350,0.20000000,670,0.67,EUR
2026-02-14 11:15:00,ADAPLN,BUY,2.60,150.00000000,390,0.39,PLN
2026-02-15 12:20:00,SOLUSDT,BUY,115,3.00000000,345,0.345,USDT
2026-02-16 13:25:00,DOTEUR,BUY,8.50,40.00000000,340,0.34,EUR
2026-02-17 09:35:00,BTCUSDT,SELL,48000,0.01000000,480,0.48,USDT
2026-02-18 10:40:00,ETHEUR,SELL,3500,0.15000000,525,0.525,EUR
2026-02-19 11:45:00,ADAPLN,SELL,3.00,80.00000000,240,0.24,PLN
2026-02-20 12:50:00,SOLUSDT,SELL,130,2.00000000,260,0.26,USDT
2026-02-21 13:55:00,DOTEUR,SELL,9.40,20.00000000,188,0.188,EUR
2026-02-23 09:05:00,BTCUSDT,BUY,46500,0.02000000,930,0.93,USDT
2026-02-24 10:10:00,ETHEUR,BUY,3250,0.25000000,812.50,0.8125,EUR
2026-02-25 11:15:00,ADAPLN,BUY,2.50,200.00000000,500,0.5,PLN
2026-02-26 12:20:00,SOLUSDT,BUY,110,4.00000000,440,0.44,USDT
2026-02-27 13:25:00,DOTEUR,BUY,8.20,50.00000000,410,0.41,EUR
2026-02-28 09:35:00,BTCUSDT,SELL,49000,0.01500000,735,0.735,USDT
2026-03-02 10:40:00,ETHEUR,SELL,3600,0.20000000,720,0.72,EUR
2026-03-03 11:45:00,ADAPLN,SELL,3.10,100.00000000,310,0.31,PLN
2026-03-04 12:50:00,SOLUSDT,SELL,136,3.00000000,408,0.408,USDT
2026-03-05 13:55:00,DOTEUR,SELL,9.80,30.00000000,294,0.294,EUR
