txid,ordertxid,pair,time,type,ordertype,price,cost,fee,vol
sample-k-001,order-k-001,XXBTZUSD,2026-01-02 09:05:00,buy,limit,42000,420,1.26,0.01000000
sample-k-002,order-k-002,XETHZEUR,2026-01-03 10:10:00,buy,market,3000,450,1.35,0.15000000
sample-k-003,order-k-003,ADA-PLN,2026-01-04 11:15:00,buy,limit,2.40,240,0.72,100.00000000
sample-k-004,order-k-004,SOL-USD,2026-01-05 12:20:00,buy,market,100,250,0.75,2.50000000
sample-k-005,order-k-005,DOT-EUR,2026-01-06 13:25:00,buy,limit,7.50,225,0.68,30.00000000
sample-k-006,order-k-006,XXBTZUSD,2026-01-07 09:35:00,sell,market,43000,215,0.65,0.00500000
sample-k-007,order-k-007,XETHZEUR,2026-01-08 10:40:00,sell,limit,3150,315,0.95,0.10000000
sample-k-008,order-k-008,ADA-PLN,2026-01-09 11:45:00,sell,market,2.55,127.50,0.38,50.00000000
sample-k-009,order-k-009,SOL-USD,2026-01-10 12:50:00,sell,limit,108,162,0.49,1.50000000
sample-k-010,order-k-010,DOT-EUR,2026-01-11 13:55:00,sell,market,8.10,121.50,0.36,15.00000000
sample-k-011,order-k-011,XXBTZUSD,2026-01-12 09:05:00,buy,limit,41000,615,1.85,0.01500000
sample-k-012,order-k-012,XETHZEUR,2026-01-13 10:10:00,buy,market,2950,590,1.77,0.20000000
sample-k-013,order-k-013,ADA-PLN,2026-01-14 11:15:00,buy,limit,2.20,330,0.99,150.00000000
sample-k-014,order-k-014,SOL-USD,2026-01-15 12:20:00,buy,market,95,285,0.86,3.00000000
sample-k-015,order-k-015,DOT-EUR,2026-01-16 13:25:00,buy,limit,7.20,288,0.86,40.00000000
sample-k-016,order-k-016,XXBTZUSD,2026-01-17 09:35:00,sell,market,44000,440,1.32,0.01000000
sample-k-017,order-k-017,XETHZEUR,2026-01-18 10:40:00,sell,limit,3200,480,1.44,0.15000000
sample-k-018,order-k-018,ADA-PLN,2026-01-19 11:45:00,sell,market,2.65,212,0.64,80.00000000
sample-k-019,order-k-019,SOL-USD,2026-01-20 12:50:00,sell,limit,112,224,0.67,2.00000000
sample-k-020,order-k-020,DOT-EUR,2026-01-21 13:55:00,sell,market,8.40,168,0.50,20.00000000
sample-k-021,order-k-021,XXBTZUSD,2026-01-22 09:05:00,buy,limit,40500,810,2.43,0.02000000
sample-k-022,order-k-022,XETHZEUR,2026-01-23 10:10:00,buy,market,2850,712.50,2.14,0.25000000
sample-k-023,order-k-023,ADA-PLN,2026-01-24 11:15:00,buy,limit,2.10,420,1.26,200.00000000
sample-k-024,order-k-024,SOL-USD,2026-01-25 12:20:00,buy,market,90,360,1.08,4.00000000
sample-k-025,order-k-025,DOT-EUR,2026-01-26 13:25:00,buy,limit,6.80,340,1.02,50.00000000
sample-k-026,order-k-026,XXBTZUSD,2026-01-27 09:35:00,sell,market,45000,675,2.03,0.01500000
sample-k-027,order-k-027,XETHZEUR,2026-01-28 10:40:00,sell,limit,3300,660,1.98,0.20000000
sample-k-028,order-k-028,ADA-PLN,2026-01-29 11:45:00,sell,market,2.70,270,0.81,100.00000000
sample-k-029,order-k-029,SOL-USD,2026-01-30 12:50:00,sell,limit,118,354,1.06,3.00000000
sample-k-030,order-k-030,DOT-EUR,2026-01-31 13:55:00,sell,market,8.60,258,0.77,30.00000000
sample-k-031,order-k-031,XXBTZUSD,2026-02-02 09:05:00,buy,limit,46000,460,1.38,0.01000000
sample-k-032,order-k-032,XETHZEUR,2026-02-03 10:10:00,buy,market,3400,510,1.53,0.15000000
sample-k-033,order-k-033,ADA-PLN,2026-02-04 11:15:00,buy,limit,2.75,275,0.83,100.00000000
sample-k-034,order-k-034,SOL-USD,2026-02-05 12:20:00,buy,market,120,300,0.90,2.50000000
sample-k-035,order-k-035,DOT-EUR,2026-02-06 13:25:00,buy,limit,8.80,264,0.79,30.00000000
sample-k-036,order-k-036,XXBTZUSD,2026-02-07 09:35:00,sell,market,47000,235,0.71,0.00500000
sample-k-037,order-k-037,XETHZEUR,2026-02-08 10:40:00,sell,limit,3450,345,1.04,0.10000000
sample-k-038,order-k-038,ADA-PLN,2026-02-09 11:45:00,sell,market,2.90,145,0.44,50.00000000
sample-k-039,order-k-039,SOL-USD,2026-02-10 12:50:00,sell,limit,126,189,0.57,1.50000000
sample-k-040,order-k-040,DOT-EUR,2026-02-11 13:55:00,sell,market,9.10,136.50,0.41,15.00000000
sample-k-041,order-k-041,XXBTZUSD,2026-02-12 09:05:00,buy,limit,45500,682.50,2.05,0.01500000
sample-k-042,order-k-042,XETHZEUR,2026-02-13 10:10:00,buy,market,3350,670,2.01,0.20000000
sample-k-043,order-k-043,ADA-PLN,2026-02-14 11:15:00,buy,limit,2.60,390,1.17,150.00000000
sample-k-044,order-k-044,SOL-USD,2026-02-15 12:20:00,buy,market,115,345,1.04,3.00000000
sample-k-045,order-k-045,DOT-EUR,2026-02-16 13:25:00,buy,limit,8.50,340,1.02,40.00000000
sample-k-046,order-k-046,XXBTZUSD,2026-02-17 09:35:00,sell,market,48000,480,1.44,0.01000000
sample-k-047,order-k-047,XETHZEUR,2026-02-18 10:40:00,sell,limit,3500,525,1.58,0.15000000
sample-k-048,order-k-048,ADA-PLN,2026-02-19 11:45:00,sell,market,3.00,240,0.72,80.00000000
sample-k-049,order-k-049,SOL-USD,2026-02-20 12:50:00,sell,limit,130,260,0.78,2.00000000
sample-k-050,order-k-050,DOT-EUR,2026-02-21 13:55:00,sell,market,9.40,188,0.56,20.00000000
sample-k-051,order-k-051,XXBTZUSD,2026-02-23 09:05:00,buy,limit,46500,930,2.79,0.02000000
sample-k-052,order-k-052,XETHZEUR,2026-02-24 10:10:00,buy,market,3250,812.50,2.44,0.25000000
sample-k-053,order-k-053,ADA-PLN,2026-02-25 11:15:00,buy,limit,2.50,500,1.50,200.00000000
sample-k-054,order-k-054,SOL-USD,2026-02-26 12:20:00,buy,market,110,440,1.32,4.00000000
sample-k-055,order-k-055,DOT-EUR,2026-02-27 13:25:00,buy,limit,8.20,410,1.23,50.00000000
sample-k-056,order-k-056,XXBTZUSD,2026-02-28 09:35:00,sell,market,49000,735,2.21,0.01500000
sample-k-057,order-k-057,XETHZEUR,2026-03-02 10:40:00,sell,limit,3600,720,2.16,0.20000000
sample-k-058,order-k-058,ADA-PLN,2026-03-03 11:45:00,sell,market,3.10,310,0.93,100.00000000
sample-k-059,order-k-059,SOL-USD,2026-03-04 12:50:00,sell,limit,136,408,1.22,3.00000000
sample-k-060,order-k-060,DOT-EUR,2026-03-05 13:55:00,sell,market,9.80,294,0.88,30.00000000
